id,article,lo,brand,kirana_group,brand1,variant,product,item,size,size1,volume,uom_type,uom,description,price,long_description,qa_data_uploaded,qa_uploaded_error
1,article,lo,brand,kirana_group,brand1,variant,product,item,size,,,,uom,description,0,long_description,0,
17,490927213,Oral Hygine,All,SK,Colgate,360 Surround Soft,Toothbrush,Colgate 360 Surround Soft Toothbrush,2+1 Nos,Pack,2+1 ,packs,Pack,Colgate 360 Surround Soft Toothbrush 2+1 Nos,166,"Colgate 360 Surround Soft Toothbrush Surround Bristles simultaneously clean both sides of the teeth, and reach down to the gumline,specially made for all round clean.",0,"Error occurred during ""weight"" processing. Invalid type for value: ""2+1 "". Expected Type: ""float""."
38,491055295,Ready to Cook,High,LK,Cantina,exicana Flour,Tortillas,Cantina Mexicana Flour Tortillas,8Pk 340 gm,Pack,8 * 340 gm,packs,Pack,Cantina Mexicana Flour Tortillas8Pk 340 gm,295,"Cantina Mexicana Flour Tortillas are Heat wrap tortillas Ideal for Mexican dishes like enchiladas, fajita and burritas.",0,"Error occurred during ""weight"" processing. Invalid type for value: ""8 * 340 gm"". Expected Type: ""float""."
45,441000000000,NA,,,Practicekit, Hs Blue XXLarge,Shirt,Practicekit Shirt Hs Blue XXLarge,1 Nos,Pack,1,packs,Pack,Practicekit Shirt Hs Blue XXLarge 1 Nos,1999, Add interest to your casual wardrobe with this Practicekit Shirt Hs Blue T shirt . Made from a 100% Cotton Single Jersey knit fabric .,0,image not found
46,441000000000,NA,,,Travel,Gear Polo Blue XXLarge,Shirt,Travel Gear Polo Blue XXLarge,1 Nos,Pack,1,packs,Pack,Travel Gear Polo Blue XXLarge 1 Nos,1999,"Every adventure requires you to be prepared with the right gear t-shirts, Travel Gear Polo Blue T-shirts help you enjoy your expeditions while staying comfortable.",0,image not found
47,441000000000,NA,,,Match , Kit Kshirt Hs Blue 13-14 Year,Shirt,Match Kit Kshirt Hs Blue 13-14 Year,1 Nos,Pack,1,packs,Pack,Match Kit Kshirt Hs Blue 13-14 Year 1 Nos,2999, Add interest to your casual wardrobe with this Match Kit Kshirt Hs Blue . Made from a 100% Cotton Single Jersey knit fabric .,0,image not found
57,441000000000,NA,,,,,,Match Kit Kcap Blue Fs,1 Nos,Pack,1,packs,Pack,Match Kit Kcap Blue Fs 1 Nos,599,This item is not available in our catalogue at the moment.,0,image not found
72,491090589,NA,,,,,,KVG Diwali Lights Assorted,5 Meters,mtr,5,mtr,Pack,Festive Special-KVG Diwali Lights Assorted 5 Mts,25,Diwali is a popular and big festival in India and now have the best Diwali with KVG Diwali Lights  - 5 meters Assorted Set.,0,image not found
73,491090590,NA,,,,,,KVG Diwali Lights Assorted,10 Meters,mtr,10,mtr,Pack,Festive Special-KVG Diwali Lights Assorted 10 Mts,50,Diwali is a popular and big festival in India and now have the best Diwali with KVG Diwali Lights  - 10 meters Assorted Set.,0,image not found
86,441000000000,NA,,,Practice kit Kshirt ,Blue 9-10 Years,T-shirt,Prcticekit Kshirt Fs Blue 9-10 Years,1 Nos,Pack,1,packs,Pack,Prcticekit Kshirt Fs Blue 9-10 Years 1 Nos,1699," Add interest to your Kids casual wardrobe with this Practicekit Shirt Hs Blue T shirt , Made from a 100% Cotton Single Jersey knit fabric .",0,image not found
87,441000000000,NA,,,Travel Gear , Kpolo Blue 7-8 Years,T-shirt,Travel Gear Kpolo Blue 7-8 Years,1 Nos,Pack,1,packs,Pack,Travel Gear Kpolo Blue 7-8 Years 1 Nos,1699,"Every adventure requires you to be prepared with the right gear t-shirts, Travel Gear Polo Blue T-shirts for kids  help you enjoy your expeditions while staying comfortable.",0,image not found
88,441000000000,NA,,,Travel Gear , Kpolo Blue 9-10 Years,T-shirt,Travel Gear Kpolo Blue 9-10 Years,1 Nos,Pack,1,packs,Pack,Travel Gear Kpolo Blue 9-10 Years 1 Nos,1699,"Every adventure requires you to be prepared with the right gear t-shirts, Travel Gear Polo Blue T-shirts for kids  help you enjoy your expeditions while staying comfortable.",0,image not found
144,590001279,NA,,,Mixed Capsicum,Yellow & Red,Capsicum,Mixed Capsicum-Yellow & Red,2 Nos,pcs,2 * 400 gm,packs,Pack,Mixed Capsicum-Yellow & Red (Pack of 2) 400 gm,34,The mix of  red and yellow capsicum and comes with the combined  sweetness of both and contains more vitamin C than an orange,0,"Error occurred during ""weight"" processing. Invalid type for value: ""2 * 400 gm"". Expected Type: ""float""."
149,490011067,NA,,,,,,Shri Ram Taj,20 gram,gm,20,gm,Pack,Shri Ram Taj 20 gm,12,This item is not available in our catalogue at the moment.,0,image not found
151,490013064,Cleaning,All,RK,Green Planet ,Garbage Bags,Garbage Bags,Green Planet Garbage Bags,25 / 30,pack,25 / 30,packs,Pack,Green Planet Garbage Bags 25/30,60,Use Green Planet Garbage bags to keep surrounding clean,0,"Error occurred during ""weight"" processing. Invalid type for value: ""25 / 30"". Expected Type: ""float""."
233,490011355,Cleaning,All,SK,Domex,Thick ,Home Cleaner,Domex Thick Home Cleaner,500 ml,ml,500,ml,Bottle,Domex Thick Home Cleaner 500 ml,70,"Domex is fortified with thick bleach cleaning properties which not only kill the germs, but also keep the toilets sparkling clean. As the solution is thick, the protection lasts for a longer time.",0,image not found
305,490740532,Noodles,All,RK,Knorr Soupy,Mast Masala,Mast Masala,Knorr Soupy Mast Masala,4 Pack (240 Gram),Pack,4  (240 gm),packs,Pack,Knorr Soupy Mast Masala 4 Pack Noodles 240 gm,60,Knorr Soupy Noodles Mast Masala contains the all time favourite masala noodles with the goodness of vegetables in a hearty soup.,0,"Error occurred during ""weight"" processing. Invalid type for value: ""4  (240 gm)"". Expected Type: ""float""."
309,490740704,Health Drink,All,RK,Pediasure,Chocolate,Health Drink,Pediasure Chocolate Health Drink,900 gram,gm,900,gm,Jar,Pediasure Chocolate Health Drink 900 gm Jar,1180,"Provide your child complete and balanced nutrition with Pediasure Chocolate Health Drink that is perfect for his/her overall health requirements. Enriched with the goodness of 37 vital nutrients, probiotics, prebiotic Fos and a host of vitamins, minerals and other essential nutrients, this shall keep your child energetic and healthy.",0,image not found
326,581015375,NA,,,Fresh Bake,Mix Hydrabadi Plaits ,Mix Hydrabadi Plaits ,Fresh Bake Mix Hydrabadi Plaits ,80 gram,gm,80,gm,Pack,Fresh Bake Mix Hydrabadi Plaits 80 gm,30,Fresh Bake Mix Hydrabadi Plaits is best in taste. Freshly Prepared.,0,image not found
395,490957440,,,,Cantina Mexicana,Cantina Mexicana,Taco Shells,Cantina Mexicana Taco Shells,12 Nos (150 Gram),Pack,12  (150 gm),packs,Pack,Cantina Mexicana Taco Shells 12 150 gm,225,"Cantina Mexicana taco shells  are Heat wrap tacos Ideal for Mexican dishes like enchiladas, fajita and burritas.",0,"Error occurred during ""weight"" processing. Invalid type for value: ""12  (150 gm)"". Expected Type: ""float""."
425,441000000000,,,,Travel Gear Kpolo ,Blue 11-12 Years,Shirt,Travel Gear Kpolo Blue 11-12 Years,1 Nos,Pack,1,packs,Pack,Travel Gear Kpolo Blue 11-12 Years 1 Nos,1699,"Every adventure requires you to be prepared with the right gear t-shirts, Travel Gear Polo Blue T-shirts for kids  help you enjoy your expeditions while staying comfortable.",0,image not found
426,441000000000,,,,Travel Gear Kpolo ,Blue 13-14 Years,Shirt,Travel Gear Kpolo Blue 13-14 Years,1 Nos,Pack,1,packs,Pack,Travel Gear Kpolo Blue 13-14 Years 1 Nos,1699,"Every adventure requires you to be prepared with the right gear t-shirts, Travel Gear Polo Blue T-shirts for kids  help you enjoy your expeditions while staying comfortable.",0,image not found
450,490015539,,,,Active Wheel’s OK ,Detergent,Detergent Bar,Ok Detergent Bar,150 gm,gm,150,gm,Pack,Ok Detergent Bar 150 gm,10,Keep your clothes feeling fresh with Active Wheel’s OK Detergent bar. This detergent bar helps in getting rid of the toughest stains on your precious clothes while retaining their colour and quality. No more breaking your back to rub those pesky dirt stains off your clothes.,0,%fieldName is a required field.
486,490116891,,,,Camlin,Poster ,Colours,Camlin Poster Colours,12 Piece (10 Ml),pcs,12  (10 ),pcs,Pack,CAMLIN POSTER COLOURS 10 ML 12 PC BOX,150,"Camel Poster colours are bold, bright and opaque. They are easy to mix, flow easily and dry quickly, making painting a delightful experience.",0,"Error occurred during ""weight"" processing. Invalid type for value: ""12  (10 )"". Expected Type: ""float""."
494,490537394,,,,Frooti ,Mango,Drink,Frooti Mango Drink,600 ml,ml,600,ml,Bottle,Frooti Mango Drink 600 ml,34,"Make yourself a mite happier by sipping on Frooti delicious juice made of fresh mango pulp. With no added preservatives, this pious drink comes in different packages for you to choose from.",0,image not found
496,490537970,,,,Bavaria ,Malt Lemon , Energy Drink,Bavaria Malt Lemon Energy Drink,330 ml,ml,330,ml,Can,Bavaria Malt Lemon Energy Drink 330 ml,50,Bavaria Non Alcoholic Malt Lemon energy drink has a world wide reputation of uniqueness and a good taste. As a result of the unique patented technology used in the Bavaria .,0,image not found
501,490538008,,,,Krrish ,Diet Bhel,Diet Bhel,Krrish Diet Bhel,180 gram,gm,180,gm,Pack,Krrish Diet Bhel 180 gm,60,"Krrish Diet Bhel is the tasty Mumbai origin bhel, which is a good snacking option during tea time, snack time or during a tasty and healthy time pass particularly for the diet conscious people. Diet Bhel is made from Puffed Rice, Rice Flakes, Gram flour, Refined Palmolein oil, Roasted Gram, Iodised Salt, Turmeric Powder, Curry Leaves, Mustard Seeds, Cumin Seeds & Ground Spices.",0,image not found
502,490538009,,,,Krrish ,Mix Farsan,Mix Farsan,Krrish Mix Farsan,180 gram,gm,180,gm,Pack,Krrish Mix Farsan 180 gm,60,"Krrish Mix Farsan is made of Poha, Bundi, Chana Dal, Moong and Besan, with curry leaves and red chilli for flavour, it's a delicious blend of textures and spices. Known for its authentic Maharashtrian taste, this snack is not to be missed! ",0,image not found
503,490538012,,,,Krrish ,Salted Boondi,Salted Boondi,Krrish Salted Boondi,180 gram,gm,180,gm,Pack,Krrish Salted Boondi 180 gm,54,Krrish Salted boondi is made from fresh quality products. It is Crispy and crunchy and comes in air tight Packing to maintain the freshness.,0,image not found
504,490538013,,,,Krrish ,,,Krrish Tikha Sev,180 gram,gm,180,gm,Pack,Krrish Tikha Sev 180 gm,54,"Krrish Tikha Sev is seasoned with a variety of flavours and spices. Prepared from high-grade natural ingredients, the range is deep fried in premium quality vegetable or edible oil to offer less fat and appetizing taste",0,image not found
505,490922043,,,,24 Letter Mantra ,Organic,Ajwain,24 Letter Mantra (Organic) Ajwain,100 gram,gm,100,gm,Pack,24 Letter Mantra (Organic) Ajwain 100 gm,60,24 Letter Mantra (Organic) Ajwain  provides Instant Relief from Acidity and Indigestion. One of the most crucial health benefits of ajwain seeds and why your mother never forgets to add it to your meals is because it keeps your stomach strong.,0,image not found
506,490922052,,,,24 Letter Mantra ,Organic,Tamarind Premium,24 Letter Mantra (Organic) Tamarind Premium,500 gram,gm,500,gm,Pack,24 Letter Mantra (Organic) Tamarind Premium 500 gm,110,"Adding a tremendous flavour to your dishes is what 24 Letter Mantra (Organic) Tamarind does perfectly,  aside of providing you with tons of beneficial minerals, vitamins, and dietary fibre. Tamarind (imli) is a laxative, digestive, and an emulsifying agent in many pharmaceutical products. ",0,image not found
507,491110859,,,,Delmonte,Pomace Olive Oil,Pomace Olive Oil,Delmonte Pomace Olive Oil,1 lt,Ltr,1,ltr,Bottle,Delmonte Pomace Olive Oil 1 Ltr Bottle,600,Delmonte Pomace Olive Oil is a light oil with neutral taste and flavour. Delmonte Pomace Olive Oil is the perfect olive oil for Indian Cooking.,0,image not found
508,491110858,,,,Delmonte,Pomace Olive Oil,Pomace Olive Oil,Delmonte Pomace Olive Oil,5 liter,Ltr,5,ltr,Tin,Delmonte Pomace Olive Oil 5 Lt Tin,2150,Delmonte Pomace Olive Oil is a light oil with neutral taste and flavour. Delmonte Pomace Olive Oil is the perfect olive oil for Indian Cooking.,0,image not found
509,490197943,,,,Bedekar ,Garam Masala,Garam Masala,Bedekar Garam Masala,40 gram,gm,40,gm,Pack,Bedekar Garam Masala 40 gm,22,"Add some spice to your dishes with Bedekar’s Garam Masala. Fresh, and packed with scintillating aroma, this box of garam masala will make your dishes tasting heavenly. Tickle your taste buds with this beautiful fusion of a myriad spices and spruce up your dal, sambhar, and other gravies as well.",0,image not found
510,490336658,,,,Khus Khus,Khus Khus,Khus Khus,Delicious Khus Khus,100 gram,gm,100,gm,Pack,Delicious Khus Khus 100 gm,32,"Delicious, creamy Khus khus payasam needs well roasted khus khus and almonds, that are ground with grated coconut and cooked in jaggery",0,image not found
511,491126828,,,,24 Leter Mantra,Fruit & Nut Cookies,Fruit & Nut Cookies,24 Leter Mantra Fruit & Nut Cookies,150 gram,gm,150,gm,Pack,24 Leter Mantra Fruit & Nut Cookies 150 gm,90,24 Letter Mantra Fruit & Nut Cookies is Fruit & Nut Delight is a crispy blend of heart healthy mixed nuts (almonds brazil nuts peanuts and walnuts) dried apricots and raisins. It is really healthy different snack food for health conscious individuals and families.,0,image not found
512,490003353,Shampoo,,,Himalaya ,Gentle Daily Care,Protein Shampoo,Himalaya Protein Shampoo Gentle Daily Care,400 ml,ml,400,ml,Bottle,Himalaya Protein Shampoo Gentle Daily Care 400 ml,220,Himalaya Protein Shampoo Gentle Daily Care gently cleanses and provides the necessary nourishment to hair.,0,image not found
