id,article,lo,brand,kirana_group,brand1,variant,product,item,size,size1,volume,uom_type,uom,description,price,long_description,qa_data_uploaded,qa_uploaded_error
2,490009551,Snacks,All,RK,Haldiram ,Bhujia,Sev,Haldiram Bhujia Sev,1 Kg,kg,1,kg,Pouch,Haldiram Bhujia Sev 1 Kg Pouch,210,"Originated from the dry land of Bikaner in Rajasthan, this snack is irresistible as the flavours burst in your mouth as soon as you crunch the sev, wanting you to have more, Get few packets of Haldiram's Bhujia home and savour it with tea on a rainy evening.",36,
3,490009573,Pickle,Medium,RK,Mother's , Lime ,Pickle,Mother's Lime Pickle,400 gm,gm,400,gm,Bottle,Mother's Lime Pickle 400 gm Bottle,75,Mother's Lime Pickle Sun-ripened plump limes blend with spices to form a tangy & spicy combination. This age-old recipe is a fine way to introduce your family to a delectable culinary delight. ,703,
4,490009575,Ready to Cook,All,SK,MTR,Rava,Idli Mix,MTR Rava Idli Mix,200 gm,gm,200,gm,Pouch,MTR Rava Idli Mix 200 gm,45," MTR Rava Idli Mix is a signature dish invented by MTR Foods for a healthy & wholesome breakfast. A delicious, traditional breakfast for you and your family is now ready in an instant .  Tasty Tip: Serve hot with MTR sambar, coconut chutney and potato curry. Garnish with tomato slices and cashew nuts.",704,
5,490009585,Chocklate,High,LK,Lindt Exclusive ,70% Dark,Chocolate,Lindt Exclusive 70% Dark,100 gm,gm,100,gm,Pack,Lindt Exclusive 70% Dark 100 gm,275,"Experience the intense flavours of cocoa beans coupled with the rich aromas in this dark Lindt Exclusive bar. 7+K110% Cocoa in a full-bodied dark chocolate, masterfully balanced to be neither bitter nor overpowering. Expertly crafted with the finest ingredients.",705,
6,490926174,Juice,Medium,RK,Tropicana ,Pomegranate ,Juice,Tropicana Pomegranate Juice,1 Lt,Ltr,1,ltr,Tetrapack,Tropicana Pomegranate Juice 1 Lt Tetrapack,99,"Tropicana selects the best fruit to manufacture high-quality juices and original products made from the best quality pomegranates, picked up from the best orchards in the world. Hygienically packed in 6 layer packaging. Enjoy the goodness 1 litre pack contains juice equivalent to 500g Pomegranate fruit.",706,
7,490926210,Drink,High,RK,Danone ,Sweet , Lassi,Danone Sweet Lassi,165 ml,ml,165,ml,Pack,Danone Sweet Lassi 165 ml,25,"Go 'Dahilicious' with Danone Sweet Lassi. This seriously probiotic drink is the perfect beverage for lunch and to quench your thirst when on the go. It provides instant energy. For any-time rejuvenation, pick a pack of Danone Lassi.",707,
8,490926211,Drink,High,RK,Danone ,Masala, Lassi,Danone Masala Lassi,165 ml,ml,165,ml,Pack,Danone Masala Lassi 165 ml,20,"Danone Masala Lassi ,It's sweet, rich and made of all natural ingredients, including pasteurised toned milk, water, sugar 11% & active culture. Lassi is an amazing way to beat the heat .",688,
9,490926212,Drink,High,RK,Danone ,Mango , Lassi,Danone Mango Lassi,165 ml,ml,165,ml,Pack,Danone Mango Lassi 165 ml,20,"Danone Mango Lassi is sweet, rich and made of all natural ingredients, including pasteurised toned milk, Mango ,water, sugar 11% & active culture. Lassi is an amazing way to beat the heat .",689,
10,490927146,Shampoo,High,RK,L'oreal Paris ,Fall Repair , Shampoo,L'oreal Paris Fall Repair Shampoo,90 ml,ml,90,ml,Pack,L'oreal Paris Fall Repair Shampoo 90 ml,75,"L'Oréal Paris Helps in reducing hairfall by strengthening hair. It is ensured with various nourishing elements which will retain the hair and help in growth, L'Oréal Research has shown that without Arginine, hair does not grow. Arginine nourishes and energises hair roots to prevent hair fall. ",690,
11,490927147,Shampoo,High,RK,L'oreal Paris ,Fall Repair , Shampoo,L'oreal Paris Fall Repair Shampoo,180 ml,ml,180,ml,Pack,L'oreal Paris Fall Repair Shampoo 180 ml,155,"L'Oréal Paris Helps in reducing hairfall by strengthening hair. It is ensured with various nourishing elements which will retain the hair and help in growth, L'Oréal Research has shown that without Arginine, hair does not grow. Arginine nourishes and energises hair roots to prevent hair fall. ",691,
12,490927149,Conditioner,High,RK,L'oreal Paris ,Fall Repair , Shampoo,L'oreal Paris Fall Repair Conditioner,90 ml,ml,90,ml,Pack,L'oreal Paris Fall Repair Conditioner 90 ml,80,"L'Oréal Paris Fall Repair Conditioner enriched with Arginine essence nourishes the hair root, restructures the hair fibre and makes hair grow stronger. Arginine is an essential amino acid vital for hair.",692,
13,490927171,Cleaning,All,USK,Vim, Dishwash, Dishwash Liquid,Vim Dishwash Liquid,225 ml,ml,225,ml,Pouch,Vim Dishwash Liquid 225 ml Pouch,40,"Vim Drop Lemon Dishwash liquid has the power of 100 lemons, which helps clean dishes easily. Unlike dishwash bars, Vim gel leaves no white residue and leaves your utensils brightening shine .",693,
14,490896732,Cleaning,All,RK,Vim, Dishwash, Dishwash Liquid,Vim Yellow Dishwash Liquid,750 ml,ml,750,ml,Pack,Vim Yellow Dishwash Liquid 750 ml,150,"Vim’s power of 100 lemons which is the fastest in removing the toughest grease from vessels., which helps clean dishes easily. Unlike dishwash bars, Vim gel leaves no white residue and leaves your utensils brightening shine .",694,
15,490927172,Cleaning,All,LK,Vim, Dishwash, Dishwash Liquid,Vim Yellow Dishwash Liquid,1.5 Lt,Ltr,1.5,ltr,Pack,Vim Yellow Dishwash Liquid 1.5 Lt,280,"Vim Dishwash Liquid Lemon  which is the fastest in removing the toughest grease from vessels, which helps clean dishes easily. Unlike dishwash bars, Vim gel leaves no white residue and leaves your utensils brightening shine .",708,
16,490927184,Sanitary Napkins,All,RK,Whisper ,Ultra Nights XL Heavy Flow,Sanitary Napkins,Whisper Ultra Nights XL Heavy Flow Sanitary Napkins,15 Pads,Pack,15,packs,Pack,Whisper Ultra Nights XL Heavy Flow Sanitary Napkins 15 Pads,175,"Stay comfortable during your periods with these specially designed sanitary napkins from Whisper. These are longer in size with a wider back for extra protection against back leaks. Designed to offer more absorbency, these Whisper Ultra Nights XL Heavy Flow Sanitary Napkins give long lasting protection .",709,
18,490927219,Face Wash,High,RK,Fiama Di Wills,Men Aqua Destressing,Face Wash,Fiama Di Wills Men Aqua Destressing Face Wash,100 ml,ml,100,ml,Pack,Fiama Di Wills Men Aqua Destressing Face Wash 100 ml,180,"Fiama Di Wills Men De-Stressing & Brightening Face Wash provides 6 expert care de-stressing and brightening solutions for youthful and radiant skin. Enriched with unique Revitalizing beads, it exfoliates dead cells to help brighten your face. It combines the goodness of Sea Minerals and Blue Lotus .",695,
19,490927220,Face Wash,High,RK,Fiama Di Wills,Men Aqua Pulse Destressing,Face Wash,Fiama Di Wills Men Aqua Pulse Destressing Face Wash,50 ml,ml,50,ml,Pack,Fiama Di Wills Men Aqua Pulse Destressing Face Wash 50 ml,95,"Fiama Di Wills Men De-Stressing & Brightening Face Wash provides 6 expert care de-stressing and brightening solutions for youthful and radiant skin. Enriched with unique Revitalizing beads, it exfoliates dead cells to help brighten your face. It combines the goodness of Sea Minerals and Blue Lotus .",696,
20,490928922,NA,,,Aurum,Barrette Clip, Hairpin,Aurum Barrette Clip Hairpin,1 Nos,pcs,1,packs,Pack,Aurum Barrette Clip Hairpin 1 Nos,125,"Aurum Barrette hairpin clip is also known as a retaining pin, is a type of formed wire used on a grooved shaft. It is designed to be easily installed and uninstalled .",710,
21,950002521,NA,,,Banana Robusta ,Robusta  Premium,Banana ,Banana Robusta Premium,500 Gram,gm,500,gm,Pack,Banana Robusta Premium 500 gm,25,"Robusta Semi Ripe Premium Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavour, good smell and the texture is mushy and smooth. ",711,
22,490928942,Deodrant,Medium,SK,Nivea ,Whitening Fruity Touch ,Deo Spray,Nivea Whitening Fruity Touch Deo Spray,150 ml,ml,150,ml,Can,Nivea Whitening Fruity Touch Deo Spray 150 ml Can,185,"Nivea Fruity Touch Whitening deodorant spray gives you the freedom to go sleeveless with fairer underarms and a fun, fruity fragrance.  Whiter Underarms Naturally Infused with the natural goodness of liquorice extract and Vitamin C .",697,
23,581105725,NA,,,HMR,Veg , Biryani,HMR Veg Biryani,1 Nos,pcs,1,pcs,Pack,HMR Veg Biryani,50,HMR Vegetable Biryani prepared in a traditional Hyderabadi Dum Biryani style is a Vegetarian’s dream come true for enjoying the famous dum biryani. ,712,
24,590003557,NA,,,Gourd-Parwal,Parwal Pointed,Vegetable,Pointed Gourd-Parwal,1 Kg,kg,1,kg,Pack,Pointed Gourd-Parwal 1 Kg,66,"Pointed gourd, scientifically Trichosanthes dioica which is often used as vegetable within our kitchen is helpful to our health.",37,
25,590003534,NA,,,Lemon-Neembu,Neembu,Lemon,Lemon-Neembu,1 Kg,kg,1,kg,Pack,Lemon-Neembu 1 Kg,9999,"The health benefits of lemon include treatment of throat infections, indigestion, constipation, dental problems, fever, internal bleeding, rheumatism, burns, obesity, respiratory disorders, cholera and high blood pressure, while it also benefits your hair and skin .",38,
26,590003537,NA,,,Cauliflower,Phool gobhi,Vegetable,Cauliflower-Phool gobhi,1 Nos,pcs,1,pcs,Pack,Cauliflower-Phool gobhi 1 Nos,22,Cauliflower has a good proportion of sulphur compound and is also known to support the liver’s ability to neutralize toxins. Cauliflower is one of the healthiest vegetables you can add to your regular diet.,713,
27,590003667,NA,,,Sponge Gourd,Hari Torai,Vegetable,Sponge Gourd-Hari Torai,1 Kg,kg,1,kg,Pack,Sponge Gourd-Hari Torai 1 Kg,50,"One of the healthiest green vegetables is Sponge Gourd also known as lufa. Lufa is basically a fruit but consumed as vegetable, it is said to be an excellent blood purifier as it flushes out the pollutants from the blood.",39,
28,590003538,NA,,,Cabbage,patta  gobhi,Vegetable,Cabbage - patta  gobhi,1 Nos,pcs,1,pcs,Pack,Cabbage - patta  gobhi 1 Nos,16,"Cabbage is an excellent source of vitamin K, vitamin C and vitamin B6. It is also a very good source of manganese, dietary fibre, potassium, vitamin B1, folate and copper. It is good for the brain and is useful in the treatment of neural disorders such as Alzheimer's disease. ",714,
29,590003661,NA,,,Cucumber ,Kheera,Vegetable,Cucumber Kheera,1 Kg,kg,1,kg,Pack,Cucumber Kheera 1 Kg,38,Cucumber or kheera is a very famous fruit used as a culinary vegetable and found very easily everywhere because of its wide cultivation all around the world. They are very good for hydrating the body in the summer season however it is found and used in almost every season .,40,
30,590003188,NA,,,Colocassia,Small Colocassia,Vegetable,Small Colocassia-Arvi small,1 Kg,kg,1,kg,Pack,Small Colocassia-Arvi small 1 Kg,9999,"Colocassia or Taro root contains a very significant amount of dietary fibre and carbohydrates, as well as high levels of vitamin A, vitamin C, vitamin E, vitamin B6, and folate, as well as magnesium, iron, zinc, phosphorous, potassium, manganese, and copper.",41,
31,950003475,NA,,,Capsicum,Capsicum Red,Vegetable,Capsicum Red,500 Gram,gm,500,gm,Pack,Capsicum Red 500 gm,25,"Red peppers contain more than 200 percent of your daily vitamin C intake .If you are iron deficient, try combining red peppers with your iron source for maximum absorption. Red bell peppers are a great source of vitamin B6 and folate.",715,
