storeid,picturepath,newpicturepath
224,lof/seller/IMG_20150928_153442.jpg,lof/seller/IMG_20150928_153442-270x360.jpg
225,lof/seller/IMG_20150928_153953.jpg,lof/seller/IMG_20150928_153953-270x480.jpg
227,lof/seller/IMG_20150928_154741.jpg,lof/seller/IMG_20150928_154741-270x480.jpg
228,lof/seller/IMG_20150928_155126.jpg,lof/seller/IMG_20150928_155126-270x360.jpg
230,lof/seller/IMG_20150928_163135.jpg,lof/seller/IMG_20150928_163135-270x360.jpg
233,lof/seller/IMG_20150928_164353.jpg,lof/seller/IMG_20150928_164353-270x480.jpg
234,lof/seller/IMG_20150928_175233.jpg,lof/seller/IMG_20150928_175233-480x853.jpg
235,lof/seller/IMG_20150928_180049.jpg,lof/seller/IMG_20150928_180049-480x640.jpg
236,lof/seller/IMG_20150928_180800.jpg,lof/seller/IMG_20150928_180800-480x853.jpg
237,lof/seller/IMG_20150928_181302.jpg,lof/seller/IMG_20150928_181302-480x853.jpg
238,lof/seller/IMG_20150928_182334.jpg,lof/seller/IMG_20150928_182334-480x640.jpg
239,lof/seller/IMG_20150929_145822.jpg,lof/seller/IMG_20150929_145822-480x640.jpg
240,lof/seller/IMG_20150929_150600.jpg,lof/seller/IMG_20150929_150600-480x640.jpg
241,lof/seller/IMG_20150929_152000.jpg,lof/seller/IMG_20150929_152000-480x640.jpg
242,lof/seller/IMG_20150929_152000.jpg,lof/seller/IMG_20150929_152000-480x640.jpg
243,lof/seller/IMG_20150929_154042.jpg,lof/seller/IMG_20150929_154042-480x640.jpg
244,lof/seller/IMG_20150929_162314.jpg,lof/seller/IMG_20150929_162314-480x640.jpg
245,lof/seller/IMG_20150929_162749.jpg,lof/seller/IMG_20150929_162749-480x640.jpg
246,lof/seller/IMG_20150929_163654.jpg,lof/seller/IMG_20150929_163654-480x640.jpg
247,lof/seller/IMG_20150929_165009.jpg,lof/seller/IMG_20150929_165009-480x640.jpg
248,lof/seller/IMG_20150929_170821.jpg,lof/seller/IMG_20150929_170821-480x640.jpg
249,lof/seller/IMG_20150929_171711.jpg,lof/seller/IMG_20150929_171711-480x640.jpg
250,lof/seller/IMG_20150929_172617.jpg,lof/seller/IMG_20150929_172617-480x640.jpg
